name,香港鳳龍燒臘美食館
city,台北市
region,士林區
detailed_address,福華路128巷10號
phone,02-2831-2367
introduction,用心料理空格歡迎品嚐
order_note,三個以上即可外送
l1_category,A
l2_category,2
version,1

---,分隔線,共用選項代碼,---
spid,option_name,single_option

---,分隔線,共用選項價格代碼,---
spid,option_name,extra_price


---,分隔線,商品分類代碼,---
category_code,category_name
100,各式燒臘飯
200,各式炒麵
300,各式炒飯
400,各式燴飯
500,各式河粉
600,各式粥類
700,湯類
800,青菜類

---,分隔線,商品資料---
category_code,option,price,name,product_simple,product_describe
100,,120,玫瑰油雞腿飯,,
100,,120,脆皮雞腿飯,,
100,,120,美味三寶飯,,
100,,110,現炸魚排飯,,
100,,110,脆皮燒肉飯,,
100,,110,港式臘味飯,,
100,,110,現炸排骨飯,,
100,,110,各式雙拼飯,,
100,,110,脆皮燒鴨飯,,
100,,100,蜜汁香腸飯,,
100,,100,蜜汁叉燒飯,,
100,,100,玫瑰油雞飯,,
200,,120,廣式廣州炒麵,,
200,,120,廣式牛肉炒麵,,
200,,120,廣式海鮮炒麵,,
200,,120,廣式蝦仁炒麵,,
200,,120,廣式叉燒炒麵,,
200,,120,廣式牛腩炒麵,,
200,,120,海鮮炒油麵,,
200,,120,沙茶牛肉炒油麵,,
200,,120,黑胡椒牛肉炒油麵,,
200,,120,牛腩炒油麵,,
200,,120,蝦仁炒油麵,,
200,,120,叉燒炒油麵,,
300,,140,鹹魚雞粒炒飯,,
300,,140,鹹魚叉燒炒飯,,
300,,140,鹹魚牛肉炒飯,,
300,,120,鳳梨海鮮炒飯,,
300,,120,海鮮炒飯,,
300,,110,鳳梨牛肉炒飯,,
300,,110,廣式臘味炒飯,,
300,,110,沙茶牛肉炒飯,,
300,,110,黑胡椒牛肉炒飯,,
300,,110,青椒牛肉炒飯,,
300,,110,廣州炒飯,,
300,,110,叉燒炒飯,,
300,,110,蝦仁炒飯,,
300,,110,牛肉炒飯,,
300,,100,素炒飯,,
400,,120,牛腩燴飯,,
400,,120,咖哩牛腩燴飯,,
400,,120,海鮮燴飯,,
400,,120,鳳梨海鮮燴飯,,
400,,110,鳳梨牛肉燴飯,,
400,,110,蝦仁燴飯,,
400,,110,廣州燴飯,,
400,,110,鳳梨雞燴飯,,
400,,110,沙茶牛肉燴飯,,
400,,110,黑胡椒牛肉燴飯,,
400,,110,滑蛋牛肉燴飯,,
400,,110,滑蛋蝦仁燴飯,,
400,,110,香菇雞燴飯,,
400,,110,牛肉燴飯,,
400,,110,咖哩牛肉燴飯,,
400,,100,素燴飯,,
500,,120,海鮮炒河粉,,
500,,120,干炒牛肉河粉,,
500,,120,干炒蝦仁河粉,,
500,,120,干炒叉燒河粉,,
600,,80,鮑魚雞球粥,,
600,,80,鮑魚蝦仁粥,,
600,,80,海鮮粥,,
600,,60,滑蛋牛肉粥,,
600,,60,滑蛋蝦仁粥,,
600,,60,皮蛋瘦肉粥,,
600,,60,魚片瘦肉粥,,
600,,60,豬肝粥,,
700,,60,海鮮豆腐湯,,
700,,60,海鮮豆腐羹,,
700,,60,西湖牛肉羹,,
700,,60,魚片湯,,
700,,60,玉米濃湯,,
700,,50,青菜豆腐湯,,
700,,50,豬肝湯,,
800,,80,炒空心菜,,
800,,80,炒高麗菜,,
800,,80,炒青江菜,,

---,分隔線,分公司基本資料,---
name,phone,city,region,detailed_address,latitude,longitude

